"COMPANY NAME","CEO","Founded","Company size","Revenue","Industry"
"Instant Teams","-","-","11 to 50","-","-"
"The Tour Guy","-","-","-","-","-"
"Sertifi","-","2008","11 to 50","$1M to $5M (USD)","-"
"DarwinAI","-","-","11 to 50","-","-"
"Merryfield","-","-","-","-","-"
"360factors","Carl McCauley","-","-","-","-"
"Keeeb","-","-","11 to 50","-","-"
"Fluz","-","2016","11 to 50","-","-"
"BackboneAI","-","-","-","-","-"
"Bark","Andrew Michael & Kai Feller","-","11 to 50","-","Information Technology"
"ＳＷＥＥＴ","-","-","11 to 50","-","-"
"Relay Platform","-","-","-","-","Insurance"
"LenderClose","-","-","11 to 50","-","Financial Services"
"Blockit","-","-","-","-","-"
"MagniFI","-","2011","11 to 50","-","-"
"Andor Health","-","-","-","-","-"
"outfield","-","-","11 to 50","-","-"
"User Interviews","-","-","11 to 50","-","-"
"EXIGIS","-","-","-","-","-"
"Case Status","-","-","-","-","-"
"Artis Technologies","-","-","-","-","-"
"HandsFree Health","-","-","-","-","-"
"Mobile Coach","-","-","-","-","-"
"Monit","-","-","-","-","-"
"Avatria","-","-","-","-","-"
"Irys","-","-","-","-","-"
"Option Alpha","-","-","-","-","Internet & Web Services"
"Pronto","-","-","11 to 50","-","Construction & Facilities Services"
"Entain","Jette Nygaard-Andersen","2004","more than
10,000","$1B to $5B (USD)","Arts, Entertainment & Recreation"
"Your Fare","-","-","-","-","-"
"ZeroEyes","-","-","-","-","-"
"CARE","-","-","51 to 200","-","Healthcare"
"Speedscale","-","-","-","-","-"
"Senso.ai","-","-","-","-","-"
"healco","-","-","-","-","Information Technology"
"Jaxon","-","-","-","-","-"
"CHASSI","-","-","-","-","-"
"Nerdio","-","2005","11 to 50","-","Information Technology"
"careMESH","-","2016","11 to 50","-","-"
"Rain Retail Software","-","2006","11 to 50","-","-"
"Everee","-","-","-","-","-"
"Pillo Health","-","-","11 to 50","-","-"
"Monarx","-","-","11 to 50","-","-"
"Journey","-","-","201 to 500","-","-"
"Rangeforce","-","-","-","-","Information Technology"
"Rheaply","-","-","-","-","-"
"Sounder","-","-","-","-","-"
"Sift Media","-","-","11 to 50","-","-"
"QuoLAB","-","-","-","-","-"
"MarketDial","-","2015","11 to 50","-","Information Technology"
"ThinkX","-","-","-","-","-"
"RIVN","-","-","-","-","-"
"Cambio","-","-","-","-","-"
"addapptation","Sumner Vanderhoof","2017","11 to 50","-","Information Technology"
"TickTrade Systems","-","-","-","-","-"
"Curation Health","-","-","-","-","-"
"AlertOps","-","-","-","-","-"
"Skeps","-","-","-","-","-"
"CogniSure","-","-","-","-","-"
"PolicyMe","-","-","-","-","-"
"SVT Robotics","-","-","-","-","-"
"GrainChain","-","-","11 to 50","-","-"
"Rivet","-","1996","51 to 200","$5M to $25M (USD)","-"
"TFLiving","-","-","201 to 500","-","-"
"Benchmark Email","-","-","-","-","-"
"Gun.io","-","2011","51 to 200","-","-"
"Healthynox","-","-","-","-","-"
"PeopleKeep","-","2015","11 to 50","-","-"
"Tattle","-","-","less than
10","-","-"
"Ground Labs","-","-","-","-","-"
"Aloe Care Health","-","2017","11 to 50","-","-"
"mePrism","-","-","-","-","-"
"Claravine","-","-","11 to 50","-","Information Technology"
"RiskLens","-","-","-","-","Information Technology"
"Architect","-","-","-","-","-"
"Home Care Pulse","-","-","51 to 200","-","-"
"Gotab","-","2016","11 to 50","-","-"
"Conquest Planning","-","-","-","-","-"
"Halcyon Health","-","-","-","-","Healthcare"
"The org","-","-","-","-","-"
"Coin Metrics","-","-","-","-","-"
"Pepr","-","-","-","-","-"
"ModelOp","-","-","-","-","-"
"HiveFive","-","-","-","-","-"
"yellowBird","-","-","-","-","-"
"SYRG","-","-","-","-","-"
