Revenue_Data
COMPANY NAME,CEO,Founded,Company size,Revenue,Industry
Sertifi,-,2008,11 to 50,$1M to $5M (USD),-
Entain,Jette Nygaard-Andersen,2004,"more than
10,000",$1B to $5B (USD),"Arts, Entertainment & Recreation"
Rivet,-,1996,51 to 200,$5M to $25M (USD),-
Avelead,-,-,11 to 50,$5M to $25M (USD),Information Technology
FreshLime,-,2015,"less than
10","less than
$1M (USD)",Internet & Web Services
Genomenon,-,-,"less than
10","less than
$1M (USD)",Biotechnology
JELLYFISH,-,2005,51 to 200,$5M to $25M (USD),-
PunchOut2Go,-,2011,11 to 50,$5M to $25M (USD),Information Technology
ORock Technologies,-,2015,"less than
10","less than
$1M (USD)",-
Sprout,-,2004,11 to 50,$1M to $5M (USD),Information Technology
DeepTarget,-,-,"less than
10","less than
$1M (USD)",-
Chipper,-,-,51 to 200,$5M to $25M (USD),-
LightStream,-,2007,"less than
10","less than
$1M (USD)",Telecommunications
Signal Vine,-,2013,11 to 50,"less than
$1M (USD)",-
Cadence,-,-,201 to 500,$25M to $100M (USD),-
Onosys,-,-,"less than
10","less than
$1M (USD)",-
Manor,-,1965,"5,001 to 10,000",$1B to $5B (USD),Retail & Wholesale
Trellis,-,2012,"less than
10","less than
$1M (USD)",Construction & Facilities Services
Adapt2 Solutions,-,-,11 to 50,$1M to $5M (USD),-
Balance,-,-,51 to 200,$5M to $25M (USD),Healthcare
StaffDNA,-,-,11 to 50,$1M to $5M (USD),-
Modus,-,-,51 to 200,$5M to $25M (USD),Real Estate
CRESCENDO RESTAURATION,-,-,"501 to 1,000",$25M to $100M (USD),Grocery Stores
beeline group,-,2002,"1001 to 5,000",$25M to $100M (USD),Retail & Wholesale
RentCheck,-,2013,"less than
10","less than
$1M (USD)",-
Ai insurance,-,-,11 to 50,$1M to $5M (USD),Insurance
Nestor,-,-,11 to 50,$5M to $25M (USD),Personal Consumer Services
Embrace,-,-,"less than
10","less than
$1M (USD)",-
Abacus Technology,-,1983,"501 to 1,000",$100M to $500M (USD),Manufacturing
Ditto,Mike Tomlin - Go Steelers!,2011,"more than
10,000","less than
$1M (USD)",Consumer Goods and Services
MOLOCO,-,-,"less than
10",$1M to $5M (USD),-
Grain,Sung,-,51 to 200,$5M to $25M (USD),Food and Beverages
Quartix,-,-,51 to 200,$5M to $25M (USD),Telecommunications
Paragon,-,-,51 to 200,$5M to $25M (USD),Energy & Utilities
"Freight Management, Inc.",Robert J. Walters,-,11 to 50,$25M to $100M (USD),Transportation & Logistics
FileTrail,-,2001,11 to 50,$1M to $5M (USD),Information Technology
Data2logistics,-,2002,201 to 500,$25M to $100M (USD),-
GLIDE,-,-,"less than
10",$1M to $5M (USD),Information Technology
Orbian,-,-,"less than
10",$1M to $5M (USD),-
macro,-,-,"less than
10",$5M to $25M (USD),-
